Date,Discharge,Dayl,Prcp,Srad,Swe,Tmax,Tmin,Vp,Prcp_lag_1,Tmax_lag_1,Srad_lag_1,Discharge_lag_1,Prcp_lag_2,Tmax_lag_2,Srad_lag_2,Discharge_lag_2,Prcp_lag_3,Tmax_lag_3,Srad_lag_3,Discharge_lag_3,Prcp_lag_4,Tmax_lag_4,Srad_lag_4,Discharge_lag_4,Prcp_lag_5,Tmax_lag_5,Srad_lag_5,Discharge_lag_5,Prcp_lag_6,Tmax_lag_6,Srad_lag_6,Discharge_lag_6,Prcp_lag_7,Tmax_lag_7,Srad_lag_7,Discharge_lag_7,Year,Month,Day
2000-01-08,49.0,32486.4,1.77,161.63,0.0,1.54,-6.54,374.92,0.0,-0.08,193.3,54.0,0.0,-2.7,208.24,55.0,13.93,11.8,188.99,91.0,8.58,11.61,143.33,77.0,2.58,11.65,176.35,44.0,0.0,6.99,214.92,39.0,0.0,1.56,204.85,39.0,2000,1,8
2000-01-09,46.0,32486.4,0.0,168.24,0.0,0.82,-6.76,369.02,1.77,1.54,161.63,49.0,0.0,-0.08,193.3,54.0,0.0,-2.7,208.24,55.0,13.93,11.8,188.99,91.0,8.58,11.61,143.33,77.0,2.58,11.65,176.35,44.0,0.0,6.99,214.92,39.0,2000,1,9
2000-01-10,83.0,32832.0,0.0,150.35,0.0,4.09,-2.7,503.67,0.0,0.82,168.24,46.0,1.77,1.54,161.63,49.0,0.0,-0.08,193.3,54.0,0.0,-2.7,208.24,55.0,13.93,11.8,188.99,91.0,8.58,11.61,143.33,77.0,2.58,11.65,176.35,44.0,2000,1,10
2000-01-11,120.0,32832.0,18.22,72.23,0.0,4.75,0.67,637.65,0.0,4.09,150.35,83.0,0.0,0.82,168.24,46.0,1.77,1.54,161.63,49.0,0.0,-0.08,193.3,54.0,0.0,-2.7,208.24,55.0,13.93,11.8,188.99,91.0,8.58,11.61,143.33,77.0,2000,1,11
2000-01-12,79.0,32832.0,1.19,138.55,0.0,4.07,-2.58,507.84,18.22,4.75,72.23,120.0,0.0,4.09,150.35,83.0,0.0,0.82,168.24,46.0,1.77,1.54,161.63,49.0,0.0,-0.08,193.3,54.0,0.0,-2.7,208.24,55.0,13.93,11.8,188.99,91.0,2000,1,12
2000-01-13,69.0,32832.0,1.45,146.06,0.0,-1.41,-8.08,332.23,1.19,4.07,138.55,79.0,18.22,4.75,72.23,120.0,0.0,4.09,150.35,83.0,0.0,0.82,168.24,46.0,1.77,1.54,161.63,49.0,0.0,-0.08,193.3,54.0,0.0,-2.7,208.24,55.0,2000,1,13
2000-01-14,42.0,33156.54,6.73,190.77,0.0,-7.77,-21.24,114.3,1.45,-1.41,146.06,69.0,1.19,4.07,138.55,79.0,18.22,4.75,72.23,120.0,0.0,4.09,150.35,83.0,0.0,0.82,168.24,46.0,1.77,1.54,161.63,49.0,0.0,-0.08,193.3,54.0,2000,1,14
2000-01-15,40.0,33177.6,0.0,228.29,0.0,-10.32,-21.03,120.0,6.73,-7.77,190.77,42.0,1.45,-1.41,146.06,69.0,1.19,4.07,138.55,79.0,18.22,4.75,72.23,120.0,0.0,4.09,150.35,83.0,0.0,0.82,168.24,46.0,1.77,1.54,161.63,49.0,2000,1,15
2000-01-16,39.0,33177.6,0.0,261.46,0.0,-4.61,-18.89,134.72,0.0,-10.32,228.29,40.0,6.73,-7.77,190.77,42.0,1.45,-1.41,146.06,69.0,1.19,4.07,138.55,79.0,18.22,4.75,72.23,120.0,0.0,4.09,150.35,83.0,0.0,0.82,168.24,46.0,2000,1,16
2000-01-17,38.0,33177.6,0.0,288.96,0.0,-1.39,-23.44,93.13,0.0,-4.61,261.46,39.0,0.0,-10.32,228.29,40.0,6.73,-7.77,190.77,42.0,1.45,-1.41,146.06,69.0,1.19,4.07,138.55,79.0,18.22,4.75,72.23,120.0,0.0,4.09,150.35,83.0,2000,1,17
2000-01-18,36.0,33523.2,0.0,178.29,0.0,-17.92,-25.09,79.09,0.0,-1.39,288.96,38.0,0.0,-4.61,261.46,39.0,0.0,-10.32,228.29,40.0,6.73,-7.77,190.77,42.0,1.45,-1.41,146.06,69.0,1.19,4.07,138.55,79.0,18.22,4.75,72.23,120.0,2000,1,18
2000-01-19,33.0,33523.2,0.0,244.75,0.0,-11.43,-22.83,99.02,0.0,-17.92,178.29,36.0,0.0,-1.39,288.96,38.0,0.0,-4.61,261.46,39.0,0.0,-10.32,228.29,40.0,6.73,-7.77,190.77,42.0,1.45,-1.41,146.06,69.0,1.19,4.07,138.55,79.0,2000,1,19
2000-01-20,32.0,33523.2,0.0,206.12,0.0,-8.82,-17.45,160.0,0.0,-11.43,244.75,33.0,0.0,-17.92,178.29,36.0,0.0,-1.39,288.96,38.0,0.0,-4.61,261.46,39.0,0.0,-10.32,228.29,40.0,6.73,-7.77,190.77,42.0,1.45,-1.41,146.06,69.0,2000,1,20
2000-01-21,31.0,33868.8,2.0,200.44,0.0,-9.51,-17.62,154.3,0.0,-8.82,206.12,32.0,0.0,-11.43,244.75,33.0,0.0,-17.92,178.29,36.0,0.0,-1.39,288.96,38.0,0.0,-4.61,261.46,39.0,0.0,-10.32,228.29,40.0,6.73,-7.77,190.77,42.0,2000,1,21
2000-01-22,30.0,33868.8,0.0,234.42,0.0,-14.7,-24.69,81.63,2.0,-9.51,200.44,31.0,0.0,-8.82,206.12,32.0,0.0,-11.43,244.75,33.0,0.0,-17.92,178.29,36.0,0.0,-1.39,288.96,38.0,0.0,-4.61,261.46,39.0,0.0,-10.32,228.29,40.0,2000,1,22
2000-01-23,32.0,33868.8,0.0,250.8,0.0,-12.5,-23.52,80.0,0.0,-14.7,234.42,30.0,2.0,-9.51,200.44,31.0,0.0,-8.82,206.12,32.0,0.0,-11.43,244.75,33.0,0.0,-17.92,178.29,36.0,0.0,-1.39,288.96,38.0,0.0,-4.61,261.46,39.0,2000,1,23
2000-01-24,35.0,34214.4,0.0,263.32,0.0,-5.37,-17.4,160.0,0.0,-12.5,250.8,32.0,0.0,-14.7,234.42,30.0,2.0,-9.51,200.44,31.0,0.0,-8.82,206.12,32.0,0.0,-11.43,244.75,33.0,0.0,-17.92,178.29,36.0,0.0,-1.39,288.96,38.0,2000,1,24
2000-01-25,38.0,34214.4,0.0,252.64,0.0,-2.36,-13.64,202.3,0.0,-5.37,263.32,35.0,0.0,-12.5,250.8,32.0,0.0,-14.7,234.42,30.0,2.0,-9.51,200.44,31.0,0.0,-8.82,206.12,32.0,0.0,-11.43,244.75,33.0,0.0,-17.92,178.29,36.0,2000,1,25
2000-01-26,42.0,34214.4,23.31,116.55,0.0,-5.58,-11.12,261.86,0.0,-2.36,252.64,38.0,0.0,-5.37,263.32,35.0,0.0,-12.5,250.8,32.0,0.0,-14.7,234.42,30.0,2.0,-9.51,200.44,31.0,0.0,-8.82,206.12,32.0,0.0,-11.43,244.75,33.0,2000,1,26
2000-01-27,36.0,34560.0,4.33,198.94,0.0,-7.77,-17.28,158.64,23.31,-5.58,116.55,42.0,0.0,-2.36,252.64,38.0,0.0,-5.37,263.32,35.0,0.0,-12.5,250.8,32.0,0.0,-14.7,234.42,30.0,2.0,-9.51,200.44,31.0,0.0,-8.82,206.12,32.0,2000,1,27
2000-01-28,33.0,34560.0,0.0,219.45,0.0,-13.68,-21.85,115.51,4.33,-7.77,198.94,36.0,23.31,-5.58,116.55,42.0,0.0,-2.36,252.64,38.0,0.0,-5.37,263.32,35.0,0.0,-12.5,250.8,32.0,0.0,-14.7,234.42,30.0,2.0,-9.51,200.44,31.0,2000,1,28
2000-01-29,31.0,34560.0,0.0,276.01,0.0,-10.11,-21.58,120.0,0.0,-13.68,219.45,33.0,4.33,-7.77,198.94,36.0,23.31,-5.58,116.55,42.0,0.0,-2.36,252.64,38.0,0.0,-5.37,263.32,35.0,0.0,-12.5,250.8,32.0,0.0,-14.7,234.42,30.0,2000,1,29
2000-01-30,33.0,34905.6,0.0,328.84,0.0,-0.97,-19.68,120.0,0.0,-10.11,276.01,31.0,0.0,-13.68,219.45,33.0,4.33,-7.77,198.94,36.0,23.31,-5.58,116.55,42.0,0.0,-2.36,252.64,38.0,0.0,-5.37,263.32,35.0,0.0,-12.5,250.8,32.0,2000,1,30
2000-01-31,32.0,34905.6,11.55,250.68,0.0,2.17,-16.73,160.0,0.0,-0.97,328.84,33.0,0.0,-10.11,276.01,31.0,0.0,-13.68,219.45,33.0,4.33,-7.77,198.94,36.0,23.31,-5.58,116.55,42.0,0.0,-2.36,252.64,38.0,0.0,-5.37,263.32,35.0,2000,1,31
2000-02-01,31.0,35230.14,2.71,157.49,0.0,-2.09,-8.21,327.87,11.55,2.17,250.68,32.0,0.0,-0.97,328.84,33.0,0.0,-10.11,276.01,31.0,0.0,-13.68,219.45,33.0,4.33,-7.77,198.94,36.0,23.31,-5.58,116.55,42.0,0.0,-2.36,252.64,38.0,2000,2,1
2000-02-02,31.0,35251.2,0.0,274.68,0.0,-2.96,-13.48,216.35,2.71,-2.09,157.49,31.0,11.55,2.17,250.68,32.0,0.0,-0.97,328.84,33.0,0.0,-10.11,276.01,31.0,0.0,-13.68,219.45,33.0,4.33,-7.77,198.94,36.0,23.31,-5.58,116.55,42.0,2000,2,2
2000-02-03,29.0,35251.2,0.0,217.6,0.0,-8.89,-16.32,161.97,0.0,-2.96,274.68,31.0,2.71,-2.09,157.49,31.0,11.55,2.17,250.68,32.0,0.0,-0.97,328.84,33.0,0.0,-10.11,276.01,31.0,0.0,-13.68,219.45,33.0,4.33,-7.77,198.94,36.0,2000,2,3
2000-02-04,29.0,35596.8,2.16,245.73,0.0,-4.83,-14.48,200.0,0.0,-8.89,217.6,29.0,0.0,-2.96,274.68,31.0,2.71,-2.09,157.49,31.0,11.55,2.17,250.68,32.0,0.0,-0.97,328.84,33.0,0.0,-10.11,276.01,31.0,0.0,-13.68,219.45,33.0,2000,2,4
2000-02-05,27.0,35596.8,0.0,253.24,0.0,-2.54,-11.16,266.67,2.16,-4.83,245.73,29.0,0.0,-8.89,217.6,29.0,0.0,-2.96,274.68,31.0,2.71,-2.09,157.49,31.0,11.55,2.17,250.68,32.0,0.0,-0.97,328.84,33.0,0.0,-10.11,276.01,31.0,2000,2,5
2000-02-06,26.0,35942.39,0.0,257.16,0.0,-3.15,-11.75,251.29,0.0,-2.54,253.24,27.0,2.16,-4.83,245.73,29.0,0.0,-8.89,217.6,29.0,0.0,-2.96,274.68,31.0,2.71,-2.09,157.49,31.0,11.55,2.17,250.68,32.0,0.0,-0.97,328.84,33.0,2000,2,6
2000-02-07,26.0,35942.39,0.0,290.26,0.0,-2.62,-12.79,228.74,0.0,-3.15,257.16,26.0,0.0,-2.54,253.24,27.0,2.16,-4.83,245.73,29.0,0.0,-8.89,217.6,29.0,0.0,-2.96,274.68,31.0,2.71,-2.09,157.49,31.0,11.55,2.17,250.68,32.0,2000,2,7
2000-02-08,24.0,35942.39,0.0,365.23,0.0,-1.01,-19.58,120.0,0.0,-2.62,290.26,26.0,0.0,-3.15,257.16,26.0,0.0,-2.54,253.24,27.0,2.16,-4.83,245.73,29.0,0.0,-8.89,217.6,29.0,0.0,-2.96,274.68,31.0,2.71,-2.09,157.49,31.0,2000,2,8
2000-02-09,23.0,36287.99,0.0,355.84,0.0,-3.38,-19.37,120.0,0.0,-1.01,365.23,24.0,0.0,-2.62,290.26,26.0,0.0,-3.15,257.16,26.0,0.0,-2.54,253.24,27.0,2.16,-4.83,245.73,29.0,0.0,-8.89,217.6,29.0,0.0,-2.96,274.68,31.0,2000,2,9
2000-02-10,24.0,36287.99,0.0,303.36,0.0,3.37,-8.1,324.94,0.0,-3.38,355.84,23.0,0.0,-1.01,365.23,24.0,0.0,-2.62,290.26,26.0,0.0,-3.15,257.16,26.0,0.0,-2.54,253.24,27.0,2.16,-4.83,245.73,29.0,0.0,-8.89,217.6,29.0,2000,2,10
2000-02-11,26.0,36633.6,2.1,262.91,0.0,4.85,-4.66,435.28,0.0,3.37,303.36,24.0,0.0,-3.38,355.84,23.0,0.0,-1.01,365.23,24.0,0.0,-2.62,290.26,26.0,0.0,-3.15,257.16,26.0,0.0,-2.54,253.24,27.0,2.16,-4.83,245.73,29.0,2000,2,11
2000-02-12,28.0,36633.6,2.07,344.61,0.0,0.45,-14.37,199.75,2.1,4.85,262.91,26.0,0.0,3.37,303.36,24.0,0.0,-3.38,355.84,23.0,0.0,-1.01,365.23,24.0,0.0,-2.62,290.26,26.0,0.0,-3.15,257.16,26.0,0.0,-2.54,253.24,27.0,2000,2,12
2000-02-13,35.0,36979.2,0.0,360.62,0.0,-1.99,-17.34,160.0,2.07,0.45,344.61,28.0,2.1,4.85,262.91,26.0,0.0,3.37,303.36,24.0,0.0,-3.38,355.84,23.0,0.0,-1.01,365.23,24.0,0.0,-2.62,290.26,26.0,0.0,-3.15,257.16,26.0,2000,2,13
2000-02-14,72.0,36979.2,14.88,281.89,0.0,2.24,-14.4,200.0,0.0,-1.99,360.62,35.0,2.07,0.45,344.61,28.0,2.1,4.85,262.91,26.0,0.0,3.37,303.36,24.0,0.0,-3.38,355.84,23.0,0.0,-1.01,365.23,24.0,0.0,-2.62,290.26,26.0,2000,2,14
2000-02-15,60.0,37324.8,8.04,217.41,0.0,2.63,-7.17,357.4,14.88,2.24,281.89,72.0,0.0,-1.99,360.62,35.0,2.07,0.45,344.61,28.0,2.1,4.85,262.91,26.0,0.0,3.37,303.36,24.0,0.0,-3.38,355.84,23.0,0.0,-1.01,365.23,24.0,2000,2,15
2000-02-16,49.0,37324.8,0.36,276.86,0.0,-0.54,-9.3,299.21,8.04,2.63,217.41,60.0,14.88,2.24,281.89,72.0,0.0,-1.99,360.62,35.0,2.07,0.45,344.61,28.0,2.1,4.85,262.91,26.0,0.0,3.37,303.36,24.0,0.0,-3.38,355.84,23.0,2000,2,16
2000-02-17,43.0,37457.14,0.58,359.89,0.0,0.49,-12.74,231.57,0.36,-0.54,276.86,49.0,8.04,2.63,217.41,60.0,14.88,2.24,281.89,72.0,0.0,-1.99,360.62,35.0,2.07,0.45,344.61,28.0,2.1,4.85,262.91,26.0,0.0,3.37,303.36,24.0,2000,2,17
2000-02-18,37.0,37670.39,0.0,317.52,0.0,-5.85,-16.16,174.17,0.58,0.49,359.89,43.0,0.36,-0.54,276.86,49.0,8.04,2.63,217.41,60.0,14.88,2.24,281.89,72.0,0.0,-1.99,360.62,35.0,2.07,0.45,344.61,28.0,2.1,4.85,262.91,26.0,2000,2,18
2000-02-19,36.0,37670.39,16.88,154.61,0.0,-4.37,-10.29,280.0,0.0,-5.85,317.52,37.0,0.58,0.49,359.89,43.0,0.36,-0.54,276.86,49.0,8.04,2.63,217.41,60.0,14.88,2.24,281.89,72.0,0.0,-1.99,360.62,35.0,2.07,0.45,344.61,28.0,2000,2,19
2000-02-20,35.0,38016.01,1.43,185.37,0.0,-1.13,-6.33,376.29,16.88,-4.37,154.61,36.0,0.0,-5.85,317.52,37.0,0.58,0.49,359.89,43.0,0.36,-0.54,276.86,49.0,8.04,2.63,217.41,60.0,14.88,2.24,281.89,72.0,0.0,-1.99,360.62,35.0,2000,2,20
